Experiment Results - 20250810_230941
==================================================
n_online_list: [100]
n_runs: 1000
alpha: 0.4
M: 1000
==================================================

Per-t selection conditional statistics (mean/std across simulations):
    Method |    t |  Count | CovMean |  CovStd | LenMedian |  LenStd | InfFracMean |  InfFracStd |  CalMean |   CalStd
------------------------------------------------------------------------------------------------------
     Upper |    0 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    0.000 |    0.000
     Upper |    1 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    2.000 |    0.000
     Upper |    2 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |    6.000 |    0.000
     Upper |    3 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |   24.000 |    0.000
     Upper |    4 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  120.000 |    0.000
     Upper |    5 |   1000 |   1.000 |   0.000 |     inf |     nan |       1.000 |       0.000 |  720.000 |    0.000
     Upper |    6 |   1000 |   0.883 |   0.321 |   2.381 |     nan |       0.072 |       0.258 | 1001.000 |    0.000
     Upper |    7 |   1000 |   0.885 |   0.319 |   2.398 |   0.966 |       0.000 |       0.000 | 1001.000 |    0.000
     Upper |    8 |   1000 |   0.842 |   0.365 |   2.133 |   0.905 |       0.000 |       0.000 | 1001.000 |    0.000
     Upper |    9 |   1000 |   0.797 |   0.402 |   1.865 |   0.650 |       0.000 |       0.000 | 1001.000 |    0.000
     Upper |   10 |   1000 |   0.794 |   0.404 |   1.892 |   0.654 |       0.000 |       0.000 | 1001.000 |    0.000
     Upper |   11 |   1000 |   0.779 |   0.415 |   1.649 |   0.550 |       0.000 |       0.000 | 1001.000 |    0.000
     Upper |   12 |    997 |   0.754 |   0.431 |   1.666 |   0.503 |       0.000 |       0.000 |  999.762 |    7.074
     Upper |   13 |    997 |   0.772 |   0.419 |   1.594 |   0.486 |       0.000 |       0.000 | 1000.388 |    3.876
     Upper |   14 |    998 |   0.697 |   0.459 |   1.523 |   0.438 |       0.000 |       0.000 | 1000.685 |    1.472
     Upper |   15 |   1000 |   0.739 |   0.439 |   1.551 |   0.431 |       0.000 |       0.000 | 1000.650 |    1.661
     Upper |   16 |   1000 |   0.729 |   0.444 |   1.467 |   0.404 |       0.000 |       0.000 | 1000.818 |    1.047
     Upper |   17 |   1000 |   0.734 |   0.442 |   1.470 |   0.400 |       0.000 |       0.000 | 1000.787 |    1.208
     Upper |   18 |   1000 |   0.716 |   0.451 |   1.428 |   0.390 |       0.000 |       0.000 |  999.749 |    4.634
     Upper |   19 |    995 |   0.730 |   0.444 |   1.402 |   0.377 |       0.000 |       0.000 |  995.184 |   16.407
     Upper |   20 |    987 |   0.689 |   0.463 |   1.390 |   0.371 |       0.000 |       0.000 |  985.423 |   32.979
     Upper |   21 |    981 |   0.717 |   0.451 |   1.378 |   0.357 |       0.000 |       0.000 |  975.419 |   42.198
